,0,1,2,3,4,5
0,-0.71,-0.23,0.35,0.6,0.23,0.3
1,1.31,1.24,0.13,0.14,0.51,0.92
2,1.37,1.36,0.15,0.15,0.51,0.95
3,0.91,0.82,0.21,0.22,0.52,0.93
4,0.4,0.04,0.13,0.38,0.06,0.09
5,-0.19,-0.0,0.0,0.19,0.01,0.0
6,0.99,0.93,0.14,0.15,0.53,0.93
7,1.1,1.04,0.16,0.17,0.52,0.94
8,-1.36,-1.3,0.27,0.28,0.81,0.94
9,-1.16,-1.0,0.37,0.4,0.71,0.82
10,-0.83,-0.81,0.07,0.08,0.25,0.91
11,0.1,0.01,0.04,0.1,0.03,0.1
12,0.26,0.2,0.09,0.11,0.24,0.81
13,0.82,0.8,0.07,0.07,0.25,0.95
14,-0.53,-0.5,0.07,0.08,0.25,0.92
15,-0.4,-0.37,0.06,0.07,0.25,0.91
16,0.5,0.48,0.06,0.07,0.25,0.94
17,-0.35,-0.32,0.08,0.08,0.25,0.89
18,-0.09,-0.01,0.04,0.09,0.03,0.06
19,-0.05,-0.0,0.02,0.05,0.02,0.04
